epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.36751,1.67425,2.89583,1.97365,0.00421,1,0.10539,0.03941,1.87895,3.36231,2.32649,0.00018,0.00018,0.00018
2,2.38437,1.36292,2.28541,1.78365,0.00389,0.92453,0.21319,0.10567,1.94281,3.21863,2.33961,0.000372476,0.000372476,0.000372476
3,3.39336,1.36632,2.01891,1.74917,0.00357,0.84906,0.11082,0.04171,2.62528,3.46402,3.00276,0.000557032,0.000557032,0.000557032
4,4.39652,1.33675,1.96955,1.70002,0.6715,0.46294,0.40915,0.19491,2.02571,3.09556,2.72106,0.000733668,0.000733668,0.000733668
5,5.4055,1.4868,2.01036,1.79307,0.02111,0.71698,0.11472,0.03499,2.53255,3.44598,3.00631,0.000902384,0.000902384,0.000902384
6,6.48927,1.49108,2.09448,1.78388,0.34619,0.32075,0.29273,0.13897,2.00164,2.89981,3.04296,0.00106318,0.00106318,0.00106318
7,7.47778,1.39486,1.88047,1.70964,0.40177,0.35849,0.23819,0.08513,2.22494,2.79099,3.11995,0.00121606,0.00121606,0.00121606
8,8.46794,1.39007,1.87532,1.73863,0.32041,0.26415,0.24323,0.10872,2.22146,2.90076,3.18975,0.00136101,0.00136101,0.00136101
9,9.4655,1.46575,1.89116,1.7501,0.33111,0.39623,0.20974,0.08849,2.06622,2.79209,2.84409,0.00149805,0.00149805,0.00149805
10,10.4523,1.38421,1.78135,1.71189,0.46265,0.32075,0.31268,0.11923,2.38591,2.86538,3.22653,0.00162716,0.00162716,0.00162716
11,11.4307,1.36533,1.76047,1.72559,0.5494,0.50943,0.39752,0.15597,2.12439,2.49659,3.10356,0.001604,0.001604,0.001604
12,12.4196,1.38461,1.76922,1.69033,0.27536,0.39623,0.21613,0.05258,2.28747,2.93726,2.7826,0.0015644,0.0015644,0.0015644
13,13.4032,1.40352,1.79683,1.71398,0.27962,0.43396,0.21656,0.08948,2.04382,4.00875,2.84217,0.0015248,0.0015248,0.0015248
14,14.3713,1.32014,1.63184,1.65426,0.40637,0.4717,0.30285,0.12166,2.21924,4.76369,3.35747,0.0014852,0.0014852,0.0014852
15,15.3302,1.31905,1.68534,1.66448,0.37916,0.45283,0.42153,0.18781,2.16729,5.91258,3.44243,0.0014456,0.0014456,0.0014456
16,16.296,1.35575,1.70468,1.71104,0.36278,0.32075,0.25877,0.13752,2.14173,3.58568,2.92233,0.001406,0.001406,0.001406
17,17.2578,1.27684,1.61034,1.64637,0.58254,0.34235,0.36784,0.2094,1.93832,3.27398,2.79108,0.0013664,0.0013664,0.0013664
18,18.2393,1.31589,1.63848,1.6173,0.4776,0.49057,0.45728,0.26837,1.8283,2.56131,2.52357,0.0013268,0.0013268,0.0013268
19,19.2095,1.28843,1.59096,1.6464,0.69447,0.39623,0.50573,0.24803,1.86007,2.39406,2.43371,0.0012872,0.0012872,0.0012872
20,20.1841,1.1973,1.47865,1.5557,0.73455,0.39623,0.505,0.26008,1.82179,2.31696,2.384,0.0012476,0.0012476,0.0012476
21,21.1423,1.23825,1.50474,1.56642,0.64896,0.43396,0.46653,0.23266,1.88739,2.31643,2.3971,0.001208,0.001208,0.001208
22,22.108,1.22502,1.48842,1.58274,0.3729,0.43396,0.37911,0.20296,2.03184,2.44663,2.48172,0.0011684,0.0011684,0.0011684
23,23.0697,1.26588,1.48933,1.63978,0.70358,0.35849,0.43909,0.22785,1.96468,2.40439,2.46356,0.0011288,0.0011288,0.0011288
24,24.1116,1.33458,1.62815,1.69081,0.83818,0.43396,0.53165,0.30728,1.73713,2.13058,2.27306,0.0010892,0.0010892,0.0010892
25,25.0791,1.24439,1.54186,1.58451,0.80685,0.54717,0.56323,0.29166,1.81578,2.00363,2.42274,0.0010496,0.0010496,0.0010496
26,26.0552,1.13219,1.42799,1.52506,0.7262,0.50057,0.52742,0.29255,1.67181,2.09759,2.25652,0.00101,0.00101,0.00101
27,27.0263,1.14317,1.45472,1.55318,0.90956,0.43396,0.55642,0.31451,1.66961,2.02823,2.13893,0.0009704,0.0009704,0.0009704
28,28.0099,1.14962,1.39529,1.55389,0.68608,0.49057,0.54072,0.29294,1.79801,1.8551,2.17954,0.0009308,0.0009308,0.0009308
29,28.9833,1.20645,1.39559,1.60667,0.86075,0.49057,0.60322,0.32724,1.6595,1.82736,2.25304,0.0008912,0.0008912,0.0008912
30,29.9619,1.14511,1.35254,1.50125,0.67975,0.54717,0.57501,0.34228,1.7489,1.7866,2.46284,0.0008516,0.0008516,0.0008516
31,30.9358,1.10183,1.32693,1.48573,0.69848,0.49057,0.49662,0.30488,1.67486,1.95679,2.4555,0.000812,0.000812,0.000812
32,31.8998,1.13593,1.28243,1.50429,0.78936,0.5283,0.56654,0.30009,1.73803,1.89513,2.27689,0.0007724,0.0007724,0.0007724
33,32.8575,1.17765,1.34573,1.54642,0.84273,0.50562,0.58179,0.33866,1.66508,1.74857,2.16307,0.0007328,0.0007328,0.0007328
34,33.8196,1.15694,1.36931,1.5191,0.71002,0.50943,0.53301,0.32758,1.68792,1.85067,2.1567,0.0006932,0.0006932,0.0006932
35,34.7766,1.13853,1.2907,1.52108,0.72642,0.54717,0.58447,0.33415,1.53158,1.70767,2.04591,0.0006536,0.0006536,0.0006536
36,35.7442,1.1155,1.33561,1.50342,0.78015,0.46876,0.59329,0.32834,1.60426,1.72249,2.07519,0.000614,0.000614,0.000614
37,36.7031,1.03134,1.22688,1.47064,0.73657,0.45283,0.53613,0.30456,1.62228,1.8724,2.12265,0.0005744,0.0005744,0.0005744
38,37.6693,1.09635,1.27697,1.50648,0.77967,0.4717,0.52448,0.31193,1.62072,1.77998,2.1838,0.0005348,0.0005348,0.0005348
39,38.6298,1.06307,1.27668,1.44268,0.77276,0.49057,0.55801,0.33186,1.60787,1.57903,2.20282,0.0004952,0.0004952,0.0004952
40,39.5964,1.0657,1.18334,1.45381,0.83171,0.54717,0.63714,0.36,1.61514,1.54773,2.12071,0.0004556,0.0004556,0.0004556
41,40.8853,1.13343,1.7729,1.65492,0.82195,0.58491,0.63249,0.36602,1.64286,1.54941,2.11931,0.000416,0.000416,0.000416
42,41.9677,1.20649,1.61957,1.70417,0.82374,0.58491,0.62116,0.35857,1.69097,1.60126,2.15468,0.0003764,0.0003764,0.0003764
43,42.9304,1.0968,1.44855,1.63414,0.75698,0.60377,0.6176,0.34815,1.72994,1.67111,2.22351,0.0003368,0.0003368,0.0003368
44,43.8924,1.04813,1.42737,1.60344,0.70667,0.59102,0.59351,0.32239,1.71605,1.78193,2.22044,0.0002972,0.0002972,0.0002972
45,44.8478,1.00601,1.34874,1.55775,0.7114,0.50943,0.576,0.30796,1.63528,1.81516,2.14587,0.0002576,0.0002576,0.0002576
46,45.8107,1.06921,1.3094,1.63329,0.64187,0.56604,0.57242,0.32935,1.55792,1.76934,2.05014,0.000218,0.000218,0.000218
47,46.7656,0.97951,1.2982,1.53151,0.61795,0.60377,0.59853,0.34206,1.52972,1.66278,2.00385,0.0001784,0.0001784,0.0001784
48,47.7302,0.95185,1.20664,1.55241,0.74242,0.56604,0.62532,0.36059,1.48827,1.51642,1.9919,0.0001388,0.0001388,0.0001388
49,48.6851,0.95873,1.19139,1.48463,0.76569,0.56604,0.62981,0.3616,1.46916,1.50112,1.99085,9.92e-05,9.92e-05,9.92e-05
50,49.6499,0.95438,1.22704,1.52577,0.75935,0.59548,0.64968,0.36603,1.47735,1.49089,1.98468,5.96e-05,5.96e-05,5.96e-05
