epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.36057,1.60324,2.86531,1.91952,0.00349,0.83019,0.15272,0.05276,1.89649,3.27075,2.45045,0.00018,0.00018,0.00018
2,2.3349,1.32996,2.29546,1.73873,0.00262,0.62264,0.03583,0.0213,3.05217,3.82165,3.20592,0.000372476,0.000372476,0.000372476
3,3.29917,1.37123,2.0396,1.70599,0.00198,0.4717,0.05863,0.0194,3.2214,3.98434,3.30794,0.000557032,0.000557032,0.000557032
4,4.25547,1.40762,1.99695,1.74302,0.58427,0.01887,0.04361,0.02505,3.22915,3.88338,3.41423,0.000733668,0.000733668,0.000733668
5,5.2191,1.32279,1.90903,1.68368,0.57305,0.22642,0.35728,0.1591,2.02683,3.0985,2.74578,0.000902384,0.000902384,0.000902384
6,6.18658,1.32894,1.91175,1.67542,0.19705,0.18868,0.10767,0.03447,3.05772,3.02193,3.90107,0.00106318,0.00106318,0.00106318
7,7.20968,1.3266,1.81646,1.67554,0.16569,0.18868,0.1045,0.01976,3.04628,2.92163,3.82254,0.00121606,0.00121606,0.00121606
8,8.16616,1.39777,1.78898,1.71009,0.50433,0.37736,0.32263,0.16811,2.09688,2.52026,3.146,0.00136101,0.00136101,0.00136101
9,9.12013,1.44646,1.85813,1.75748,0.56779,0.35849,0.31587,0.13354,2.43993,3.08292,3.69905,0.00149805,0.00149805,0.00149805
10,10.0565,1.3818,1.76852,1.69592,0.57691,0.28302,0.27853,0.10511,2.5505,3.1859,3.31312,0.00162716,0.00162716,0.00162716
11,10.9821,1.37018,1.82405,1.68741,0.33577,0.45283,0.26159,0.08953,2.4208,3.92775,3.41734,0.001604,0.001604,0.001604
12,11.9177,1.34291,1.74932,1.66858,0.52103,0.39623,0.39159,0.17847,2.24416,2.41811,3.33847,0.0015644,0.0015644,0.0015644
13,12.8628,1.41194,1.76791,1.73612,0.64253,0.37736,0.41635,0.21315,2.0425,2.99287,3.08184,0.0015248,0.0015248,0.0015248
14,13.8046,1.24806,1.66548,1.63435,0.41831,0.35849,0.38022,0.18092,2.06377,5.33772,2.68718,0.0014852,0.0014852,0.0014852
15,14.7359,1.35065,1.6644,1.71965,0.74077,0.41509,0.50086,0.26953,1.79198,2.6721,2.5346,0.0014456,0.0014456,0.0014456
16,15.6896,1.29055,1.56232,1.62595,0.58297,0.50123,0.47555,0.19245,2.05264,2.28894,2.67556,0.001406,0.001406,0.001406
17,16.6303,1.31527,1.74371,1.68915,0.4624,0.33962,0.34476,0.1235,2.09705,2.48837,2.67807,0.0013664,0.0013664,0.0013664
18,17.5808,1.31249,1.68579,1.6539,0.35895,0.30645,0.26101,0.11454,2.45931,3.18956,3.11745,0.0013268,0.0013268,0.0013268
19,18.5244,1.323,1.61895,1.66035,0.25148,0.03774,0.03072,0.01301,2.97743,5.01937,3.57022,0.0012872,0.0012872,0.0012872
20,19.4794,1.25163,1.56503,1.61522,0.43886,0.47221,0.43971,0.23119,1.81977,3.01286,2.5409,0.0012476,0.0012476,0.0012476
21,20.4252,1.29726,1.64499,1.64966,0.54378,0.47228,0.43319,0.24459,1.99334,2.97903,2.89281,0.001208,0.001208,0.001208
22,21.3707,1.27038,1.53521,1.59046,0.74508,0.41509,0.47151,0.30407,1.73004,2.36616,2.32506,0.0011684,0.0011684,0.0011684
23,22.3208,1.23514,1.56403,1.587,0.6314,0.45283,0.47015,0.29808,1.75906,2.23847,2.36463,0.0011288,0.0011288,0.0011288
24,23.2715,1.22021,1.50329,1.55372,0.68761,0.45692,0.50032,0.26602,1.81724,2.2995,2.66069,0.0010892,0.0010892,0.0010892
25,24.281,1.2659,1.44305,1.57976,0.60469,0.39623,0.4172,0.22018,1.86263,2.57396,2.66355,0.0010496,0.0010496,0.0010496
26,25.2275,1.18271,1.41094,1.57821,0.57402,0.39623,0.42864,0.19795,1.9658,2.95825,2.61928,0.00101,0.00101,0.00101
27,26.1674,1.23993,1.44385,1.60401,0.62481,0.43396,0.44194,0.21854,1.76951,2.61716,2.35335,0.0009704,0.0009704,0.0009704
28,27.1151,1.23293,1.45927,1.58465,0.7792,0.46623,0.53428,0.30519,1.76352,2.04262,2.16749,0.0009308,0.0009308,0.0009308
29,28.075,1.20908,1.45306,1.58161,0.77759,0.43396,0.54605,0.30243,1.7878,1.99304,2.13971,0.0008912,0.0008912,0.0008912
30,29.0153,1.20114,1.43595,1.55917,0.73964,0.49057,0.57159,0.31432,1.76952,2.00537,2.25129,0.0008516,0.0008516,0.0008516
31,29.9715,1.13896,1.3654,1.50709,0.66071,0.51448,0.5458,0.29536,1.84559,1.98007,2.39888,0.000812,0.000812,0.000812
32,30.934,1.11178,1.3943,1.48897,0.66361,0.58491,0.60139,0.31747,1.71017,1.93187,2.1269,0.0007724,0.0007724,0.0007724
33,31.884,1.17436,1.4258,1.53762,0.65217,0.60377,0.62901,0.33735,1.69598,1.91035,2.11149,0.0007328,0.0007328,0.0007328
34,32.8411,1.15854,1.36863,1.56663,0.74393,0.5283,0.58997,0.33417,1.51637,1.9401,2.05356,0.0006932,0.0006932,0.0006932
35,33.7806,1.07818,1.34114,1.52593,0.69395,0.5283,0.54976,0.29154,1.64805,1.95121,2.17147,0.0006536,0.0006536,0.0006536
36,34.7299,1.12994,1.32984,1.54617,0.72492,0.56604,0.59252,0.33308,1.64044,1.79912,2.08146,0.000614,0.000614,0.000614
37,35.6649,1.12912,1.34711,1.50404,0.65123,0.58491,0.65821,0.3521,1.6884,1.7363,2.07167,0.0005744,0.0005744,0.0005744
38,36.6119,1.07795,1.25788,1.45667,0.51962,0.57153,0.58068,0.31132,1.65235,1.84746,2.01191,0.0005348,0.0005348,0.0005348
39,37.5418,1.04472,1.20389,1.42286,0.6742,0.58569,0.62294,0.34717,1.58605,1.65613,1.98563,0.0004952,0.0004952,0.0004952
40,38.4807,1.04896,1.2313,1.46129,0.76339,0.50943,0.53752,0.32406,1.60307,1.78901,2.08973,0.0004556,0.0004556,0.0004556
41,39.7724,1.19463,1.74948,1.70878,0.67925,0.50943,0.52677,0.3064,1.67819,1.7924,2.19141,0.000416,0.000416,0.000416
42,40.7109,1.1896,1.53475,1.73802,0.70783,0.50294,0.56963,0.31449,1.72347,1.76182,2.18229,0.0003764,0.0003764,0.0003764
43,41.6394,1.11699,1.53103,1.63459,0.68672,0.62044,0.62612,0.33929,1.64659,1.82872,2.10375,0.0003368,0.0003368,0.0003368
44,42.5821,1.08315,1.46873,1.60872,0.69757,0.65287,0.64486,0.35461,1.60152,1.73715,2.02982,0.0002972,0.0002972,0.0002972
45,43.53,1.05735,1.43598,1.62064,0.74095,0.64151,0.65757,0.36194,1.58319,1.74267,2.01186,0.0002576,0.0002576,0.0002576
46,44.4809,1.092,1.3713,1.6176,0.72958,0.56005,0.63651,0.36918,1.61056,1.79151,2.02919,0.000218,0.000218,0.000218
47,45.4296,0.98712,1.38044,1.52615,0.66999,0.66038,0.64342,0.36655,1.59402,1.83615,2.01606,0.0001784,0.0001784,0.0001784
48,46.3726,0.98712,1.26807,1.5169,0.69427,0.64272,0.64308,0.3684,1.57678,1.8173,1.98476,0.0001388,0.0001388,0.0001388
49,47.3116,0.99229,1.23765,1.52229,0.69516,0.64547,0.64514,0.36461,1.54888,1.77392,1.97399,9.92e-05,9.92e-05,9.92e-05
50,48.2566,0.98864,1.27221,1.52322,0.69127,0.67925,0.6529,0.36208,1.52916,1.71557,1.96648,5.96e-05,5.96e-05,5.96e-05
